category_id,name,price,company_name,active_ingredient,how_supplied,storage,dosage_form,pack_size,origin,strength,image,detail,note,documentation_availability,sourcing_delivery,frequently_asked_questions,disclaimer,on_request,source_url,show_on_home
2,Columvi,4255,Genentech,Glofitamab,,2°C to 8°C,,Single Vial,USA,10 mg /10 ml,,Columvi is a register trademark of Genentech,Columvi 10 mg /10 ml Single Vial Summary of Product Characteristics (SmPC)  - (FDA) fda.gov [15 June 2023],,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761309s000lbl.pdf,
2,Columvi,2000,"Genentech, Inc.",Roche,,2°C to 8°C,,Vial of 2.5 ml,Germany,2.5 mg /2.5 mL,,Columvi is a registered Trademark of Roche.,Columvi 2.5 mg /2.5 mL Vial of 2.5 ml Summary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/columvi-epar-product-information_en.pdf,
1,Elrexfio,6040,Pfizer Europe MA EEIG,Elranatamab,,2°C to 8°C,,1 Vial of 1.9 ml,Germany,40 mg/ml,,Elrexfio is a registered trademark of Pfizer Europe MA EEIG,Elrexfio 40 mg/ ml 1 Vial of 1.9 ml Summary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/elrexfio-epar-product-information_en.pdf,
1,Elrexfio,4000,Pfizer Europe MA EEIG,Elranatamab,,2°C to 8°C,,1 Vial of 1.1 ml,Germany,40 mg/ml,,Elrexfio is a registered trademark of Pfizer Europe MA EEIG,Elrexfio 40 mg/ ml 1 Vial of 1.1 ml Summary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu,,,,,,https://www.ema.europa.eu/en/documents/product-information/elrexfio-epar-product-information_en.pdf,
2,Empliciti,2050,Bristol-Myers Squibb,Elotuzumab,,2°C to 8°C,,Single Vial,Germany,300 mg,,Empliciti is a registered trademark of Bristol-Myers Squibb,Empliciti300 mg Single vialSummary of Product Characteristics (SmPC ) - (EMA) ema.europa.eu[May 2016],,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/empliciti,
11,Empliciti,2399,Bristol-Myers Squibb,Elotuzumab,,2°C to 8°C,,Single Vial,Germany,400 mg,,Empliciti is a registered Trademark of Bristol-Myers Squibb,Empliciti 400 mg Single Vial Summary of Product Characteristics (SmPC ) - (EMA)ema.europa.eu,,,,,,https://www.ema.europa.eu/en/medicines/human/EPAR/empliciti,
2,Idhifa,39010,Celgene Corporation,Enasidenib,,2°C to 8°C,,30 Tablets,USA,50 mg,,Idhifa is a registered trademark of Celgene Corporation,Idhifa50 MG 30 TabletsSummary of Product Characteristics (SmPC ) -( FDA ) fda.gov[2017],,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209606s000lbl.pdf,
2,Idhifa,39010,Celgene Corporation,Enasidenib,,2°C to 8°C,,30 Tablets,USA,100 mg,,Idhifa is a registered trademark of Celgene Corporation,Idhifa50 MG 30 TabletsSummary of Product Characteristics (SmPC ) -( FDA ) fda.gov[2017],,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209606s000lbl.pdf,
1,Imdelltra,1967,Amgen Inc,Tarlatamab-Dlle,,2°C to 8°C,,Single Vial,USA,1 mg,,Imdelltra is a registered Trademark of Amgen Inc,Imdelltra  1 mg Single Vial Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761344s000lbl.pdf,
1,Imdelltra,16000,Amgen Inc,Tarlatamab-Dlle,,2°C to 8°C,,Single Vial,USA,10 mg,,Imdelltra is a registered Trademark of Amgen Inc,Imdelltra  10 mg 1 Vials Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761344s000lbl.pdf,
11,Itovebi,8600,"Genentech, Inc.",Inavolisib,,15°C to 30°C,,28 Tablets,USA,3 mg,,"ITOVEBI  is a registered Trademark of Genentech, Inc.",Itovebi  3 mg 28 Tablets Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219249s001lbl.pdf,
11,Itovebi,7587,"Genentech, Inc.",Inavolisib,,15°C to 30°C,,28 Tablets,USA,9 mg,,"ITOVEBI  is a registered Trademark of Genentech, Inc.",Itovebi  9 mg 28 Tablets Summary of Product Characteristics (SmPC)  - (FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219249s001lbl.pdf,
1,Lazcluze,1222,"Janssen Biotech, Inc",Lazertinib,,15°C to 30°C,,30 Tablets,USA,240 mg,,"Lazcluze is a registered trademark of Janssen Biotech, Inc",Lazcluze 240 mg 30 Tablets Summary of Product Characterstic (SmPC)  -(FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219008s000lbl.pdf,
1,Lazcluze,5525,"Janssen Biotech, Inc",Lazertinib,,15°C to 30°C,,60 Tablets,USA,80 mg,,"Lazcluze is a register trademark of Janssen Biotech, Inc",Lazcluze 80 mg 60 Tablets Summary of Product Characterstic (SmPC)  -(FDA) fda.gov,,,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219008s000lbl.pdf,
